Altium Designer Pick and Place Locations
C:\Users\matej\Documents\Projects\HoverGate-V2\Project Outputs for Free Documents\Pick Place\Pick Place for HoverGate-V2-pcb.csv

========================================================================================================================
File Design Information:

Date:       30/01/24
Time:       16:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP36","test point 1.5mm","TopLayer","TP1_FULL","26.4000","-27.1000","90","Test point ,1.5mm diameter, no hole"
"TP35","test point 1.5mm","TopLayer","TP1_FULL","-15.0000","-40.6000","90","Test point ,1.5mm diameter, no hole"
"TP34","test point 1.5mm","TopLayer","TP1_FULL","29.5000","-36.3000","90","Test point ,1.5mm diameter, no hole"
"TP33","test point 1.5mm","TopLayer","TP1_FULL","29.5000","-37.7000","90","Test point ,1.5mm diameter, no hole"
"TP32","test point 1.5mm","TopLayer","TP1_FULL","19.9000","-27.2000","90","Test point ,1.5mm diameter, no hole"
"TP31","test point 1.5mm","TopLayer","TP1_FULL","29.5000","-39.1000","90","Test point ,1.5mm diameter, no hole"
"TP30","test point 1.5mm","TopLayer","TP1_FULL","29.5000","-33.5000","90","Test point ,1.5mm diameter, no hole"
"TP29","test point 1.5mm","TopLayer","TP1_FULL","29.5000","-34.9000","90","Test point ,1.5mm diameter, no hole"
"R37","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","0.7000","-28.6000","90",""
"R36","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","2.1000","-28.6000","90",""
"R35","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","-0.7000","-30.0000","90","RES SMD 47K OHM 1% 1/10W 0603"
